level,file_num,size_byte,extents
0,3066,224191787,4
0,3049,224169073,4
0,3025,224164456,4
0,3003,279780201,4
0,2982,279806765,4
0,2947,279784153,4
0,2912,56359519,1
0,2913,224169984,4
0,2879,390709901,6
0,2836,720878237,10
0,2792,720890796,10
0,2750,938901391,13
0,2667,556311531,8
1,2607,67905162,1
1,2613,67905105,1
1,2617,67905175,1
1,2622,67905135,1
1,2628,67909387,1
1,2631,67912581,1
1,2634,67905147,1
1,2638,67905165,1
1,2641,67905193,1
1,2645,67905151,1
1,2651,67905173,1
1,2652,67905171,1
1,2654,67909314,1
1,2672,67914208,1
1,2677,67914276,1
1,2678,67914190,1
1,2679,67914222,1
1,2691,67901982,1
1,2701,67913643,1
1,2711,67913141,1
1,2714,67914332,1
1,2722,67911311,1
1,2728,67905162,1
1,2740,67905142,1
1,2754,67905134,1
1,2770,67914220,1
1,2772,67912309,1
1,2778,67902313,1
1,2789,67909132,1
1,2793,67914288,1
1,2798,67914252,1
1,2806,67905125,1
1,2811,67904725,1
1,2816,67903526,1
1,2820,67914152,1
1,2823,67914169,1
1,2826,67906935,1
1,2832,67914226,1
1,2835,67914280,1
1,2839,3404126,1
2,2196,67903779,1
2,2205,67912866,1
2,2626,67905171,1
2,2547,67906158,1
2,2226,67907473,1
2,2202,67911036,1
2,2855,36390797,1
2,1991,67910715,1
2,2653,67905179,1
2,2494,67902000,1
2,2869,57964823,1
2,2864,67904874,1
2,2871,67389843,1
2,2526,62856152,1
2,2519,67908478,1
2,2527,62652426,1
2,2537,67907659,1
2,2873,54235729,1
2,2898,61677832,1
2,2498,67910508,1
2,2706,67905118,1
2,2539,67907191,1
2,2545,18887152,1
2,2493,67916747,1
2,2242,42257581,1
2,2875,67902000,1
2,2158,67905536,1
2,2846,67908196,1
2,2872,55739488,1
2,2849,67905801,1
2,2863,60254956,1
2,2516,67913379,1
2,2218,31600766,1
2,2876,60123765,1
2,2784,67908672,1
2,2497,67904766,1
2,2509,67911200,1
2,2801,25207947,1
2,2114,67913244,1
2,2551,67905281,1
2,2563,12271792,1
2,2441,67914348,1
2,2496,67907273,1
2,2845,67905757,1
2,2862,56702969,1
2,2535,67905872,1
2,2561,67908034,1
3,1963,67897281,1
3,2041,67897257,1
3,2048,67897304,1
3,2053,24635623,1
3,1693,67898162,1
3,1701,41259130,1
3,1514,57958169,1
3,1939,67897762,1
3,1969,67897282,1
3,1993,51159563,1
3,1696,67897661,1
3,2594,67896947,1
3,2629,67896884,1
3,2666,67896841,1
3,2707,47098513,1
3,2279,67896898,1
3,2323,22845300,1
3,1708,67897899,1
3,1942,67897413,1
3,2583,67896956,1
3,2612,67896503,1
3,2660,67896526,1
3,2883,67896473,1
3,2904,67896820,1
3,2944,15020354,1
3,1775,50688322,1
3,1924,67897431,1
3,2249,67897730,1
3,2255,67896909,1
3,2632,67896877,1
3,2655,67896889,1
3,2694,62314298,1
3,2105,67897329,1
3,2136,67897371,1
3,2182,7819909,1
3,2618,67897337,1
3,2885,67896183,1
3,2891,67896134,1
3,2894,67896243,1
3,2901,13462797,1
3,1926,67897676,1
3,1941,67897693,1
3,2042,67898431,1
3,2071,67897226,1
3,2174,67897087,1
3,2183,67896835,1
3,2191,67896886,1
3,2275,67896881,1
3,2278,67896936,1
3,2283,61830377,1
3,2028,42433264,1
3,2889,67896206,1
