level,file_num,size_byte,extents
0,2239,56365269,2
0,2238,224160330,7
0,2227,224152184,7
0,2215,720878202,23
0,2181,720873303,17
0,2141,720865905,16
0,2097,1583598599,22
0,2012,224143443,4
0,1953,56358183,3
0,1942,56347016,1
0,1945,224146965,4
0,1906,224168718,7
0,1895,720902288,20
0,1851,1370387479,56
0,1774,1370330174,38
0,1698,938858681,13
0,1639,938950529,13
1,1578,67900390,1
1,1583,67900472,1
1,1588,67907721,1
1,1591,67907450,1
1,1595,67900431,1
1,1598,67900416,1
1,1601,67901665,1
1,1603,67902697,1
1,1605,67902700,1
1,1612,67902695,1
1,1615,67902700,1
1,1618,67902679,1
1,1622,67902662,1
1,1628,67909184,1
1,1632,67909206,1
1,1635,67909240,1
1,1648,67900387,1
1,1651,67900415,1
1,1653,67900426,1
1,1659,67899318,1
1,1660,67899259,1
1,1664,67899263,1
1,1665,67899251,1
1,1674,67900303,1
1,1677,67899232,1
1,1679,67899197,1
1,1683,67899179,1
1,1686,67899234,1
1,1692,67908847,1
1,1696,67909265,2
1,1700,41938497,1
1,1701,67906316,1
1,1722,67904458,1
1,1726,67898437,1
1,1728,67898429,1
1,1729,67900308,1
1,1733,67900390,1
1,1736,67899077,2
1,1742,67899852,2
1,1747,67902664,2
1,1753,67905375,1
1,1755,67909156,1
1,1758,67900225,1
1,1763,67898399,1
1,1769,67898379,2
1,1773,67898423,1
1,1778,67898690,2
1,1783,67901925,1
1,1788,67909215,3
1,1791,67909289,2
1,1794,67909207,2
1,1797,67903251,2
1,1799,67899212,2
1,1803,67899247,2
1,1808,67899239,4
1,1819,67909237,4
1,1823,67909199,2
1,1828,67908953,2
1,1830,67902714,2
1,1834,67902654,2
1,1840,67902701,4
1,1843,67902706,4
1,1846,67902677,3
1,1848,67900303,4
1,1865,67899238,2
1,1869,67899229,4
1,1872,67899233,1
1,1876,67899258,1
1,1882,67899196,4
1,1890,67900513,2
1,1896,67899227,2
1,1899,67899222,2
2,794,67910931,1
2,1238,67906043,1
2,1498,67903935,1
2,1166,67876699,1
2,1608,67902711,1
2,997,67908894,1
2,1003,67903370,1
2,1917,67905331,1
2,1935,59975921,1
2,1503,67904651,1
2,1264,67909691,1
2,1916,67903333,2
2,1644,67900455,1
2,844,67908133,1
2,1672,67904211,1
2,714,67921563,1
2,1330,67902625,1
2,1699,67909259,1
2,1352,67900678,1
2,1926,67897708,1
2,1952,44593900,1
2,934,67912686,1
2,1184,67905659,1
2,1477,53250096,1
2,1386,67906024,1
2,582,67917519,1
2,1519,63510687,1
2,1401,67906016,1
2,1494,60926743,1
2,743,67916762,1
2,1421,67904407,1
2,1423,67903828,1
2,1426,67910949,1
2,1839,67902678,2
2,1120,67909014,1
2,1121,67908984,1
2,1861,67903230,2
2,1862,67904336,2
2,762,67920721,1
2,1908,21799759,1
3,1544,67897676,1
3,1556,48196699,1
3,1497,54582207,1
3,649,67903328,1
3,1156,67901016,1
3,1169,67899762,1
3,1207,67899740,1
3,1213,67900200,1
3,1524,67899579,1
3,1998,67899729,1
3,2009,67899720,1
3,2016,67899722,1
3,2021,8382380,1
3,972,47945006,1
3,1222,67902114,1
3,1227,67898601,1
3,1468,67898634,2
3,1480,67898619,1
3,1493,40234439,1
3,952,67899741,1
3,1155,67900719,1
3,1173,67900446,1
3,1181,40568759,1
3,1571,67898835,1
3,1576,67897658,1
3,1584,51920580,1
3,1153,67899453,1
3,1163,67900045,1
3,1176,39861044,1
3,1955,67898682,1
3,1972,67897646,1
3,1986,40263933,1
3,1193,67898633,1
3,1198,67898611,1
3,1510,67899631,1
3,1515,67898289,1
3,1989,67898023,1
3,2000,67896796,1
3,2006,24931033,1
3,1975,33959927,1
3,1582,67899734,1
3,1589,54561318,1
3,663,67904602,1
3,1965,67899555,1
3,1976,67896818,1
3,1985,48281042,1
3,1933,67896771,1
3,1948,48205975,1
3,1979,67901227,1
3,1992,67901225,1
3,2002,67901220,1
3,2010,1025965,1
3,1918,67896839,2
3,1934,51415943,1
3,1580,60390969,1
3,1486,67897653,1
3,1492,39544068,1
3,623,67904459,1
3,635,67903355,1
3,1949,67900127,1
3,1958,67896776,1
3,1971,51455385,1
3,1567,67897662,1
3,1577,51350834,1
3,1178,47821214,1
3,1530,67897667,1
3,1542,67897638,1
3,1555,51889229,1
3,1523,67897665,1
3,1529,67897681,1
3,1551,67897657,1
3,1561,67898738,1
3,1569,28106014,1
3,1505,67898595,1
3,1513,54633991,1
3,1913,67897253,1
3,1960,67896796,1
3,1973,67896774,1
3,1988,32117908,1
3,1540,5674648,1
3,1959,67899469,1
3,1961,64516879,1
3,1554,67897689,1
3,1566,54632554,1
3,1483,54632380,1
3,1225,57272749,1
3,1966,67903316,1
3,1978,67899727,1
3,1987,54654834,1
3,1924,67902018,1
3,1940,67898642,1
3,1957,57740827,1
3,1521,61011997,1
3,1204,67899721,1
3,1217,41566442,1
3,1167,54636141,1
3,445,67911373,1
3,1921,67902534,1
3,1938,67898758,1
3,1950,57819940,1
3,1172,67899768,1
3,1191,67899769,1
3,1506,67898166,1
3,1968,67897690,1
3,1982,67897673,1
3,1996,66287428,1
3,1219,67898591,1
3,1228,45355716,1
3,640,67903362,1
3,648,63871599,1
3,1919,67897433,2
3,1937,67896803,1
3,1951,49736389,1
3,1557,51361993,1
3,1467,67900417,2
3,1476,67899745,1
3,1495,37832450,1
3,1199,64236177,1
3,1186,67898595,1
3,1220,67898600,1
3,1230,67898626,1
3,1995,67898633,1
3,2004,67898628,1
3,2011,67409040,1
3,1546,67898593,1
3,1559,53985008,1
3,970,64253963,1
3,964,67901165,1
3,975,67901162,1
3,980,43332830,1
3,1964,67897184,1
3,1974,67896792,1
3,1991,48215513,1
3,1931,67896783,1
3,1944,45140607,1
3,1509,67898607,1
3,1517,67897668,1
3,1536,67897643,1
3,1548,67901981,1
3,1564,9945881,1
3,626,67903715,1
3,638,67903389,1
3,1967,67898539,1
3,1977,67896782,1
3,1990,51504105,1
3,1983,67900935,1
3,1994,67901234,1
3,2001,67897466,1
3,2007,1187457,1
3,1930,67896792,1
3,1947,47456675,1
3,1496,53331406,1
