secs_elapsed,interval_qps
1,14266
2,14334
3,14045
4,14194
5,14218
6,14236
7,14290
8,13993
9,14102
10,14117
11,320606
12,307655
13,122436
14,240614
15,279502
16,109730
17,201357
18,247857
19,185741
20,154198
21,225510
22,244101
23,94815
24,61731
25,84218
26,110987
27,153978
28,189824
29,97512
30,182614
31,231271
32,208613
33,103482
34,194883
35,211766
36,167439
37,83658
38,116456
39,126061
40,122363
41,119340
42,94467
43,54636
44,58597
45,63118
46,86617
47,104339
48,141685
49,170472
50,71133
51,142628
52,208405
53,232437
54,124108
55,124210
56,148131
57,147889
58,150415
59,73012
60,79090
61,92917
62,86810
63,88972
64,94936
65,98723
66,88558
67,42183
68,52167
69,60115
70,82178
71,86284
72,102523
73,139529
74,149833
75,69331
76,160085
77,212762
78,232619
79,101941
80,125496
81,147026
82,150174
83,147117
84,56195
85,73171
86,87415
87,89711
88,91645
89,97711
90,95513
91,90408
92,44001
93,49480
94,57579
95,59385
96,77807
97,91149
98,112485
99,146566
100,109519
101,118993
102,188876
103,219297
104,171195
105,111284
106,144942
107,147564
108,147763
109,106980
110,73499
111,78651
112,96012
113,97942
114,98462
115,96518
116,95267
117,49117
118,48445
119,57008
120,65300
121,64358
122,73458
123,97924
124,127490
125,139258
126,69863
127,143943
128,196332
129,214474
130,125464
131,99892
132,128230
133,134941
134,134221
135,121987
136,50993
137,70841
138,81762
139,91331
140,82036
141,81294
142,89370
143,87424
144,57603
145,46542
146,54451
147,59626
148,60961
149,62542
150,78591
151,93968
152,120316
153,118100
154,79878
155,127983
156,146880
157,147684
158,146817
159,66927
160,70995
161,89354
162,89053
163,94402
164,101664
165,94976
166,94145
167,45692
168,52756
169,60438
170,65404
171,75057
172,61064
173,65682
174,64870
175,73442
176,65224
177,57207
178,35783
179,43212
180,48290
181,51279
182,63102
183,57653
184,87679
185,90804
186,116863
187,117918
188,61836
189,97143
190,116844
191,126467
192,124738
193,121693
194,72009
195,60525
196,74815
197,85536
198,82531
199,78107
200,83272
201,85660
202,74902
203,36599
204,39859
205,48887
206,65640
207,55179
208,54486
209,58601
210,58625
211,51036
212,57995
213,52711
214,56283
215,50396
216,32718
217,37783
218,35816
219,39853
220,44254
221,60504
222,58225
223,89408
224,100889
225,109998
226,94405
227,46586
228,56986
229,65957
230,67486
231,66116
232,78883
233,73219
234,84217
235,68501
236,65921
237,40308
238,40046
239,56419
240,51139
241,52657
242,49827
243,52461
244,52420
245,63804
246,52323
247,48618
248,53454
249,44940
250,39308
251,29453
252,32188
253,34502
254,35872
255,35653
256,39131
257,37348
258,34765
259,36733
260,41223
261,35311
262,35144
263,36678
264,39985
265,46292
266,37653
267,36834
268,35179
269,29127
270,29620
271,37933
272,37560
273,45872
274,46210
275,47781
276,56723
277,83572
278,77945
279,74403
280,78750
281,66237
282,40947
283,46039
284,56593
285,62188
286,63392
287,55980
288,65548
289,62667
290,51493
291,54069
292,66750
293,55185
294,31551
295,44260
296,36723
297,39129
298,44329
299,50013
300,40414
301,52307
302,45904
303,45021
304,45016
305,49953
306,49393
307,43935
308,45001
309,31518
310,28935
311,28843
312,42392
313,30674
314,32358
315,31194
316,40743
317,30989
318,32273
319,28858
320,32053
321,31262
322,36770
323,28503
324,36900
325,31663
326,33515
327,31519
328,35873
329,35565
330,25361
331,26388
332,29313
333,36079
334,40840
335,42615
336,48927
337,58054
338,66749
339,78997
340,87874
341,101701
342,80388
343,42361
344,56077
345,63330
346,73379
347,69790
348,81189
349,71700
350,81821
351,63820
352,67930
353,35871
354,43734
355,52047
356,47064
357,48862
358,58340
359,58176
360,55016
361,50400
362,63183
363,56710
364,48955
365,61446
366,27361
367,31664
368,33222
369,40591
370,36719
371,37280
372,39982
373,43084
374,37036
375,32632
376,34266
377,34749
378,34409
379,41569
380,31839
381,41715
382,38973
383,40133
384,34436
385,28187
386,31620
387,36946
388,43203
389,40002
390,48945
391,57755
392,79573
393,72480
394,86114
395,99394
396,76169
397,47923
398,54650
399,62404
400,77988
401,77022
402,61555
403,59111
404,66236
405,66577
406,69207
407,48836
408,53084
409,44342
410,44719
411,45436
412,46052
413,49248
414,47062
415,57540
416,57763
417,43631
418,45263
419,43400
420,47766
421,41984
422,29528
423,36299
424,35822
425,34023
426,38606
427,46049
428,42597
429,45110
430,39286
431,33881
432,36755
433,34194
434,38560
435,35044
436,36399
437,35222
438,35254
439,35260
440,28886
441,27480
442,32270
443,39974
444,46042
445,42983
446,55723
447,67632
448,73359
449,83223
450,107861
451,114497
452,65018
453,68192
454,80850
455,86938
456,91244
457,82202
458,84991
459,83561
460,61192
461,55383
462,56985
463,56618
464,53792
465,56427
466,58422
467,57088
468,57278
469,53781
470,56000
471,55463
472,55484
473,34372
474,41793
475,37584
476,38813
477,40662
478,40403
479,50237
480,48472
481,49580
482,48386
483,43714
484,40799
485,46347
486,43962
487,40784
488,35891
489,30459
490,36062
491,41512
492,48231
493,49933
494,57467
495,60391
496,73015
497,91941
498,106002
499,94148
500,40921
501,52462
502,81852
503,77150
504,71484
505,76712
506,82445
507,72173
508,68834
509,60792
510,33494
511,36027
512,48712
513,55175
514,51431
515,52748
516,58519
517,63649
518,45936
519,53116
520,51913
521,49752
522,58602
523,31837
524,26258
525,28612
526,32792
527,36476
528,40952
529,33985
530,43031
531,32630
532,39980
533,32786
534,33539
535,35677
536,36527
537,36054
538,35999
539,36675
540,40405
541,37012
542,33626
543,21904
544,25424
545,27542
546,30286
547,32302
548,39591
549,36342
550,45645
551,53056
552,72377
553,64984
554,76337
555,83048
556,68355
557,40332
558,34885
559,41482
560,48373
561,58661
562,44964
563,53332
564,52350
565,48490
566,53246
567,52437
568,51278
569,48015
570,44630
571,35976
572,23970
573,30845
574,36238
575,32474
576,39442
577,43658
578,42587
579,36241
580,37570
581,41767
582,34716
583,37489
584,46045
585,35481
586,39270
587,34618
588,49225
589,33721
590,26509
591,24261
592,24968
593,29122
594,26944
595,25189
596,31044
597,27817
598,24664
599,27662
600,26610
601,25721
602,27500
603,32067
604,23920
605,25364
606,26335
607,25423
608,25736
609,23987
610,33636
611,25590
612,32857
613,25798
614,24765
615,17493
616,19620
617,23664
618,27259
619,28801
620,29206
621,35535
622,41170
623,47003
624,52625
625,52162
626,60644
627,77287
628,88105
629,71112
630,49253
631,37431
632,49690
633,47905
634,53178
635,49900
636,55751
637,53106
638,49429
639,55800
640,48999
641,47722
642,56993
643,49878
644,32053
645,27668
646,30239
647,33503
648,38016
649,40650
650,36487
651,34881
652,37462
653,37822
654,43233
655,44751
656,41846
657,39731
658,35888
659,38903
660,49638
661,48256
662,22076
663,22522
664,27909
665,24704
666,28743
667,30708
668,25556
669,29491
670,30056
671,25925
672,24416
673,26670
674,24896
675,26677
676,26013
677,27832
678,25397
679,30252
680,26505
681,26339
682,26565
683,31579
684,25509
685,27934
686,27285
687,23245
688,20797
689,24163
690,27508
691,31575
692,30861
693,35446
694,33223
695,38310
696,41757
697,48450
698,54734
699,67725
700,71437
701,78498
702,66444
703,42454
704,29218
705,35418
706,52149
707,48573
708,57841
709,50283
710,50617
711,46102
712,56034
713,53986
714,50394
715,50187
716,45798
717,40698
718,24827
719,30852
720,30018
721,30250
722,36945
723,34288
724,39531
725,33681
726,42399
727,41983
728,40992
729,36553
730,38886
731,36363
732,33709
733,39956
734,35728
735,35115
736,38627
737,20637
738,21570
739,26187
740,23021
741,24285
742,24470
743,26544
744,35736
745,27198
746,27890
747,28197
748,25138
749,26776
750,24450
751,26780
752,27219
753,26125
754,27070
755,26766
756,32563
757,27525
758,27994
759,29899
760,25966
761,27927
762,20640
763,18231
764,23812
765,28355
766,33882
767,36731
768,39690
769,44368
770,50801
771,41943
772,50729
773,58606
774,62324
775,74294
776,77750
777,70913
778,41408
779,69904
780,76531
781,82492
782,82891
783,84724
784,91698
785,85353
786,62393
787,35063
788,54010
789,47092
790,60411
791,49892
792,64404
793,57559
794,57820
795,56074
796,53986
797,66243
798,55806
799,32107
800,30865
801,29767
802,38443
803,34520
804,35437
805,35459
806,33963
807,33976
808,45849
809,38923
810,36488
811,38370
812,35831
813,34872
814,32845
815,36347
816,41229
817,44848
818,21258
819,23227
820,27085
821,28210
822,26434
823,31641
824,30810
825,31383
826,38377
827,59017
828,53691
829,63556
